o,d,flow
44007011902,44007002900,110
44007012500,44007012000,110
44007012602,44007012702,110
44007013101,44007000800,110
44007013102,44007000600,110
44007013102,44007012200,110
44007013800,44007013800,110
44007013900,44003021100,110
44007014600,44003021100,110
44007014700,44003021200,110
44007015000,44007000600,110
44007015600,44007015600,110
44007016000,44007015200,110
44007016700,44007016700,110
44007017400,44007017400,110
44007017900,44007012801,110
44009050402,44009051502,110
44009050700,09011705101,110
44009050801,44009051000,110
44009051102,44009050902,110
44009051201,44009051306,110
44009051504,44005040103,110
25005632200,44007010200,105
25005632200,44007010501,105
25005632200,44007015200,105
44001030400,44001030400,105
44001030602,44001030601,105
44001030700,44005040400,105
44001030901,44007014200,105
44003020101,44003020300,105
44003020200,44003020603,105
44003020300,44003021100,105
44003020602,44003022202,105
44003020603,09011702500,105
44003020703,44003022202,105
44003021200,44007000800,105
44003021402,44003021100,105
44003021502,44003980000,105
44003021700,44003021100,105
44003021700,44003021300,105
44003021800,44003022100,105
44003021800,44003022300,105
44003022300,44007000800,105
44005041601,44005041601,105
44005041602,44005040400,105
44005041701,44005041701,105
44007000101,44007000400,105
44007001000,44007001100,105
44007002200,44007000300,105
44007003100,44007003602,105
44007010400,44007003601,105
44007010502,44007010300,105
44007010600,44007010502,105
44007010800,44007010800,105
44007011200,44007011403,105
44007011403,44007011401,105
44007011800,44007013900,105
44007011901,44007002900,105
44007012103,44007003602,105
44007012200,44007013701,105
44007012500,44007014800,105
44007012602,44007012701,105
44007012900,44007000800,105
44007013102,44007000800,105
44007013701,44007013701,105
44007014200,44007014200,105
44007014300,44007013900,105
44007014400,44007000800,105
44007015000,44007003400,105
44007017300,44007018500,105
44007017500,44007018500,105
44007018400,44007012801,105
44009050401,44009050103,105
44009050600,44003021100,105
44009050600,44009051504,105
44009050700,09011705102,105
44009050902,09011701100,105
44009051101,44009050902,105
44009051302,44009051503,105
44009051302,44009051504,105
44009051502,44007014600,105
09011705102,44009050802,100
25005630300,44007000600,100
25005631100,44007000800,100
25005632200,44007000800,100
44001030100,44007000600,100
44001030500,44007000600,100
44001030602,44007000600,100
44001030901,44001030601,100
44003020101,44003022300,100
44003020200,44003021100,100
44003020300,44003020602,100
44003020300,44003022202,100
44003020500,44003020101,100
44003020602,44003020603,100
44003020702,44007000600,100
44003020703,44003021100,100
44003020800,44003020603,100
44003021600,44003021100,100
44003021901,44003022202,100
44003022100,44003020101,100
44003022100,44003022300,100
44003022201,44003021100,100
44003022202,44003021100,100
44003022300,44003022100,100
44005040303,44005040600,100
44005040400,44005040103,100
44005040400,44005040200,100
44005040400,44005040500,100
44005040600,44005041200,100
44005040800,44005040400,100
44005041601,44005041400,100
44007000102,44007000102,100
44007001000,44007000800,100
44007001300,44007002500,100
44007001600,44007002500,100
44007001800,44003021100,100
44007001900,44007000600,100
44007001900,44007001900,100
44007002102,44007012401,100
44007002300,44007001900,100
44007003400,33013044000,100
44007003400,44005040103,100
44007010300,44007000600,100
44007010501,25005632200,100
44007010702,25005632200,100
44007010800,44007011100,100
44007011100,25005610202,100
44007011200,44007018500,100
44007011302,44007011403,100
44007011402,44007000600,100
44007011702,44007000600,100
44007011702,44007000800,100
44007012103,44007011600,100
44007012104,44007000800,100
44007012200,44003022100,100
44007012401,44007011600,100
44007012500,44007012300,100
44007012701,44007012602,100
44007012702,44007012602,100
44007013002,44007012200,100
44007013500,44007000101,100
44007014000,44007000600,100
44007014400,44007000600,100
44007014502,44007000600,100
44007014600,44007014000,100
44007014700,44007000800,100
44007014700,44007014200,100
44007016300,44007011600,100
44007016300,44007016300,100
44007017300,25021442102,100
44007017300,44007017300,100
44007017700,44007011500,100
44007018200,44007011600,100
44009050102,44009050102,100
44009050401,44009050102,100
44009050401,44009050301,100
44009050500,44003022100,100
44009050700,44009051306,100
44009050801,44009050901,100
44009050901,09011696200,100
44009051304,44009051304,100
44001030500,44001030601,95
44001030500,44001030902,95
44001030601,44001030902,95
44001030700,44001030800,95
44001030902,44005040103,95
44003020102,44003980000,95
44003020601,44003020200,95
44003020601,44007000800,95
44003020602,44003022300,95
44003020604,44003020300,95
44003020604,44007000800,95
44003020800,44003021100,95
44003021001,44007000600,95
44003021002,44003022202,95
